"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2012)"
"Geral, grupo, subgrupo, item e subitem - 2.Habitação"
"";"Mês";"Variável"
"";"Mês";"IPCA - Variação mensal (%)"
"Brasil";"janeiro 2012";"0,53"
"Brasil";"fevereiro 2012";"0,60"
"Brasil";"março 2012";"0,48"
"Brasil";"abril 2012";"0,80"
"Brasil";"maio 2012";"0,80"
"Brasil";"junho 2012";"0,28"
"Brasil";"julho 2012";"0,54"
"Brasil";"agosto 2012";"0,22"
"Brasil";"setembro 2012";"0,71"
"Brasil";"outubro 2012";"0,38"
"Brasil";"novembro 2012";"0,64"
"Brasil";"dezembro 2012";"0,63"
"Brasil";"janeiro 2013";"-0,20"
"Brasil";"fevereiro 2013";"-2,38"
"Brasil";"março 2013";"0,51"
"Brasil";"abril 2013";"0,62"
"Brasil";"maio 2013";"0,75"
"Brasil";"junho 2013";"0,57"
"Brasil";"julho 2013";"0,57"
"Brasil";"agosto 2013";"0,57"
"Brasil";"setembro 2013";"0,62"
"Brasil";"outubro 2013";"0,56"
"Brasil";"novembro 2013";"0,69"
"Brasil";"dezembro 2013";"0,52"
"Brasil";"janeiro 2014";"0,55"
"Brasil";"fevereiro 2014";"0,77"
"Brasil";"março 2014";"0,33"
"Brasil";"abril 2014";"0,87"
"Brasil";"maio 2014";"0,61"
"Brasil";"junho 2014";"0,55"
"Brasil";"julho 2014";"1,20"
"Brasil";"agosto 2014";"0,94"
"Brasil";"setembro 2014";"0,77"
"Brasil";"outubro 2014";"0,68"
"Brasil";"novembro 2014";"0,69"
"Brasil";"dezembro 2014";"0,51"
"Brasil";"janeiro 2015";"2,42"
"Brasil";"fevereiro 2015";"1,22"
"Brasil";"março 2015";"5,29"
"Brasil";"abril 2015";"0,93"
"Brasil";"maio 2015";"1,22"
"Brasil";"junho 2015";"0,86"
"Brasil";"julho 2015";"1,52"
"Brasil";"agosto 2015";"0,29"
"Brasil";"setembro 2015";"1,30"
"Brasil";"outubro 2015";"0,75"
"Brasil";"novembro 2015";"0,76"
"Brasil";"dezembro 2015";"0,49"
"Brasil";"janeiro 2016";"0,81"
"Brasil";"fevereiro 2016";"-0,15"
"Brasil";"março 2016";"-0,64"
"Brasil";"abril 2016";"-0,38"
"Brasil";"maio 2016";"1,79"
"Brasil";"junho 2016";"0,63"
"Brasil";"julho 2016";"-0,29"
"Brasil";"agosto 2016";"0,30"
"Brasil";"setembro 2016";"0,63"
"Brasil";"outubro 2016";"0,42"
"Brasil";"novembro 2016";"0,30"
"Brasil";"dezembro 2016";"-0,59"
"Brasil";"janeiro 2017";"0,17"
"Brasil";"fevereiro 2017";"0,24"
"Brasil";"março 2017";"1,18"
"Brasil";"abril 2017";"-1,09"
"Brasil";"maio 2017";"2,14"
"Brasil";"junho 2017";"-0,77"
"Brasil";"julho 2017";"1,64"
"Brasil";"agosto 2017";"0,57"
"Brasil";"setembro 2017";"-0,12"
"Brasil";"outubro 2017";"1,33"
"Brasil";"novembro 2017";"1,27"
"Brasil";"dezembro 2017";"-0,40"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo"

"Notas"
"1 - Com a atualização das Estruturas de Ponderação, obtidas a partir da Pesquisa de Orçamentos Familiares - POF - 2008-2009, foram introduzidos aperfeiçoamentos na classificação dos produtos e serviços que compõem as estruturas dos índices de preços. Com isso, foram criadas novas tabelas, a partir de janeiro de 2012 para o IPCA e INPC e fevereiro de 2012 para o IPCA-15, contendo os dados com as estruturas atualizadas. Os dados de períodos anteriores são disponibilizados em outras tabelas."
"2 - A variação acumulada em 12 meses está disponível a partir de fevereiro de 2017."
