"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2012)"
"Geral, grupo, subgrupo, item e subitem - Índice geral"
"";"Mês";"Variável"
"";"Mês";"IPCA - Variação mensal (%)"
"Brasil";"janeiro 2012";"0,56"
"Brasil";"fevereiro 2012";"0,45"
"Brasil";"março 2012";"0,21"
"Brasil";"abril 2012";"0,64"
"Brasil";"maio 2012";"0,36"
"Brasil";"junho 2012";"0,08"
"Brasil";"julho 2012";"0,43"
"Brasil";"agosto 2012";"0,41"
"Brasil";"setembro 2012";"0,57"
"Brasil";"outubro 2012";"0,59"
"Brasil";"novembro 2012";"0,60"
"Brasil";"dezembro 2012";"0,79"
"Brasil";"janeiro 2013";"0,86"
"Brasil";"fevereiro 2013";"0,60"
"Brasil";"março 2013";"0,47"
"Brasil";"abril 2013";"0,55"
"Brasil";"maio 2013";"0,37"
"Brasil";"junho 2013";"0,26"
"Brasil";"julho 2013";"0,03"
"Brasil";"agosto 2013";"0,24"
"Brasil";"setembro 2013";"0,35"
"Brasil";"outubro 2013";"0,57"
"Brasil";"novembro 2013";"0,54"
"Brasil";"dezembro 2013";"0,92"
"Brasil";"janeiro 2014";"0,55"
"Brasil";"fevereiro 2014";"0,69"
"Brasil";"março 2014";"0,92"
"Brasil";"abril 2014";"0,67"
"Brasil";"maio 2014";"0,46"
"Brasil";"junho 2014";"0,40"
"Brasil";"julho 2014";"0,01"
"Brasil";"agosto 2014";"0,25"
"Brasil";"setembro 2014";"0,57"
"Brasil";"outubro 2014";"0,42"
"Brasil";"novembro 2014";"0,51"
"Brasil";"dezembro 2014";"0,78"
"Brasil";"janeiro 2015";"1,24"
"Brasil";"fevereiro 2015";"1,22"
"Brasil";"março 2015";"1,32"
"Brasil";"abril 2015";"0,71"
"Brasil";"maio 2015";"0,74"
"Brasil";"junho 2015";"0,79"
"Brasil";"julho 2015";"0,62"
"Brasil";"agosto 2015";"0,22"
"Brasil";"setembro 2015";"0,54"
"Brasil";"outubro 2015";"0,82"
"Brasil";"novembro 2015";"1,01"
"Brasil";"dezembro 2015";"0,96"
"Brasil";"janeiro 2016";"1,27"
"Brasil";"fevereiro 2016";"0,90"
"Brasil";"março 2016";"0,43"
"Brasil";"abril 2016";"0,61"
"Brasil";"maio 2016";"0,78"
"Brasil";"junho 2016";"0,35"
"Brasil";"julho 2016";"0,52"
"Brasil";"agosto 2016";"0,44"
"Brasil";"setembro 2016";"0,08"
"Brasil";"outubro 2016";"0,26"
"Brasil";"novembro 2016";"0,18"
"Brasil";"dezembro 2016";"0,30"
"Brasil";"janeiro 2017";"0,38"
"Brasil";"fevereiro 2017";"0,33"
"Brasil";"março 2017";"0,25"
"Brasil";"abril 2017";"0,14"
"Brasil";"maio 2017";"0,31"
"Brasil";"junho 2017";"-0,23"
"Brasil";"julho 2017";"0,24"
"Brasil";"agosto 2017";"0,19"
"Brasil";"setembro 2017";"0,16"
"Brasil";"outubro 2017";"0,42"
"Brasil";"novembro 2017";"0,28"
"Brasil";"dezembro 2017";"0,44"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo"

"Notas"
"1 - Com a atualização das Estruturas de Ponderação, obtidas a partir da Pesquisa de Orçamentos Familiares - POF - 2008-2009, foram introduzidos aperfeiçoamentos na classificação dos produtos e serviços que compõem as estruturas dos índices de preços. Com isso, foram criadas novas tabelas, a partir de janeiro de 2012 para o IPCA e INPC e fevereiro de 2012 para o IPCA-15, contendo os dados com as estruturas atualizadas. Os dados de períodos anteriores são disponibilizados em outras tabelas."
"2 - A variação acumulada em 12 meses está disponível a partir de fevereiro de 2017."
